"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Afu6g02030",251.992881493174,-2.16127681611204,0.158408926533499,1.96773753517753e-43,9.2404954651937e-40
"Afu8g05165",2233.43671328347,-2.2715535413874,0.227416488122003,7.61043580290224e-25,1.78693032652145e-21
"Afu5g14890",6800.77955888991,3.86611289578893,0.449676596546793,5.49650515508008e-19,6.45289705206401e-16
"Afu5g14920",1485.82917340349,4.38101033866174,0.541883641328965,4.08908204028661e-17,3.20038821019765e-14
"Afu3g12330",217.37288237216,-2.00193537908784,0.27831670186578,3.69678014883142e-14,2.04236230340145e-11
"Afu3g02270",4362.3496956398,-2.70613324762884,0.389067993129998,1.42482577210826e-13,7.43442425091153e-11
"Afu3g07945",600.890975860746,2.14193651875303,0.309650906454763,2.69040733992198e-13,1.26341528682736e-10
"Afu1g04150",207.529478029825,-3.55074675574309,0.550523890993106,4.22021230963432e-12,1.52447053892637e-09
"Afu1g15490",3202.77923510263,2.70285472177561,0.415521456860219,4.91211564248677e-12,1.70868852274947e-09
"Afu7g01930",769.744640568452,-3.05440942709619,0.546611924827738,8.2948373231626e-10,1.73122471420318e-07
"Afu6g07370",185.578359033542,-2.1036722494632,0.383183130324045,1.89163363388727e-09,3.4835731547979e-07
"Afu5g14740",182.489016064795,-2.868769756747,0.555113826554288,8.01993261692449e-09,1.25538678563591e-06
"Afu6g03210",128.071830558419,-2.06272564840963,0.397887057645619,1.00287640339917e-08,1.51919599689113e-06
"Afu6g01870",660.312096012988,-2.11106724386592,0.446728889769327,8.75902064991352e-08,1.02830902429985e-05
"Afu4g01285",755.571141549111,-2.11039225055442,0.453568875973636,1.3124206932018e-07,1.43328548262224e-05
"Afu4g14070",2727.71554242225,-2.50167203609059,0.579447867484969,5.49085802825322e-07,5.00680957294701e-05
"Afu8g06010",202.734816540837,-2.11916568465501,0.490327049442325,5.95044641589317e-07,5.32253264172082e-05
"Afu6g13440",581.834345382622,2.21993412894715,0.509747575275969,6.9007572458065e-07,6.05718804230044e-05
"Afu4g14080",512.147728281351,-2.02570352925188,0.513852866825051,2.98154947967048e-06,0.000205902299360773
"Afu5g08800",509.900520251056,-2.40542145091179,0.618744569294435,3.40993782869861e-06,0.000232073449906792
"Afu3g03550",1510.29842956397,-2.29057919045017,0.605843203091261,5.14774530280923e-06,0.000320182939629035
"Afu4g03480",98.7073012134092,-2.07756140347659,0.726888119680402,0.000117941627489801,0.00427686395901241
"Afu2g13150",1472.59282202073,2.06471315544058,0.731364714440128,0.000199039294909458,0.00670027619279436
"Afu6g04920",6481.18796389792,-2.19224827069913,0.897627692705911,0.000338695123079502,0.0101955916537265
