target_id	length	eff_length	est_counts	tpm
Afu1g00100-T	621	322	0	0
Afu1g00110-T	429	130	0	0
Afu1g00120-T	516	217	73	36.9932
Afu1g00130-T	750	410.514	3	0.803624
Afu1g00140-T	1197	763.882	3.3594	0.483609
Afu1g00150-T	1488	1060.57	2	0.207373
Afu1g00160-T	384	85.0011	0	0
Afu1g00170-T	369	70.019	0	0
Afu1g00180-T	732	438.319	1	0.250882
Afu1g00200-T	1197	856.884	1	0.128333
Afu1g00210-T	1254	831.053	14	1.8525
Afu1g00220-T	2151	1625.69	395	26.7189
Afu1g00230-T	2280	1930.72	457	26.029
Afu1g00240-T	297	15.5846	3	21.1683
Afu1g00250-T	2280	1852.05	11	0.65313
Afu1g00270-T	516	217	6	3.04054
Afu1g00280-T	1845	1546	0	0
Afu1g00290-T	831	532	0	0
Afu1g00300-T	990	729.337	2	0.301551
Afu1g00310-T	1293	955.936	3	0.345105
Afu1g00320-T	639	340	0	0
Afu1g00330-T	195	4.11003	0	0
Afu1g00340-T	393	94.0001	0	0
Afu1g00350-T	1464	1165	0	0
Afu1g00390-T	2166	1621.92	6	0.406801
Afu1g00400-T	501	202	0	0
Afu1g00410-T	2550	2251	0	0
Afu1g00420-T	1614	1248.08	9.83063	0.866159
Afu1g00440-T	1533	1140.01	39.1332	3.7748
Afu1g00450-T	1293	979.312	2.65073	0.297648
Afu1g00460-T	1524	1236.53	67.9489	6.04277
Afu1g00470-T	1500	1172.41	278.446	26.1168
Afu1g00480-T	1092	753.927	0.000931882	0.000135922
Afu1g00490-T	1431	1066.6	1	0.1031
Afu1g00500-T	1215	916.669	1334	160.03
Afu1g00510-T	1740	1372.8	4107	328.986
Afu1g00520-T	2409	1842.22	9	0.537231
Afu1g00530-T	606	331.446	91	30.1917
Afu1g00540-T	2430	1903.48	45.0799	2.60432
Afu1g00550-T	1419	952.15	50	5.77463
Afu1g00560-T	1293	876.912	73	9.15432
Afu1g00570-T	978	584.213	81	15.2466
Afu1g00580-T	1590	1273.79	108.176	9.33887
Afu1g00590-T	3789	2980.59	1.60072	0.0590572
Afu1g00610-T	1812	1363.47	7.73913	0.624175
Afu1g00620-T	1242	943	0	0
Afu1g00630-T	3018	2646	28	1.16366
Afu1g00640-T	1110	740.467	26	3.86124
Afu1g00650-T	1374	1030.74	12	1.28024
Afu1g00660-T	1200	822.888	1	0.133634
Afu1g00670-T	216	4.87155	0	0
Afu1g00680-T	873	574.381	1	0.191452
Afu1g00690-T	330	33.6633	2	6.5333
Afu1g00700-T	4089	3670.94	55	1.64757
Afu1g00710-T	543	244	0	0
Afu1g00720-T	579	280	1	0.392736
Afu1g00730-T	1644	1345	0	0
Afu1g00740-T	1020	721	0	0
Afu1g00750-T	1617	1149.81	897	85.788
Afu1g00760-T	357	58.1281	148	279.985
Afu1g00770-T	561	262	0	0
Afu1g00780-T	648	349	0	0
